Config_Provider,Config_Model_ID,Config_Display_Name,Config_Options,CSV_Match,Parameters_Total,MoE,Active_Params,TTS,Reasoning_Mode,Est_Thinking_Effort,Notes
bedrock,us.anthropic.claude-sonnet-4-5-20250929-v1:0,Claude-4.5-Sonnet,,Claude Sonnet 4.5,Not disclosed,Not disclosed,N/A,No,Prompted,Low,77.2% SWE-bench; 1M context beta; ASL-3
bedrock,global.anthropic.claude-opus-4-5-20251101-v1:0,Claude-4.5-Opus-Global,,Claude Opus 4.5,Not disclosed,Not disclosed,N/A,No,Prompted,Medium,80.9% SWE-bench; $5/$25 per MTok
bedrock,us.anthropic.claude-sonnet-4-20250514-v1:0,Claude-4-Sonnet,,Claude Sonnet 4,Not disclosed,Not disclosed,N/A,No,Prompted,Low,72.7% SWE-bench; $3/$15 per MTok
bedrock,us.anthropic.claude-opus-4-1-20250805-v1:0,Claude-4.1-Opus,,Claude Opus 4.1,Not disclosed,Not disclosed,N/A,No,Prompted,Low,74.5% SWE-bench; only 4.1 model released
bedrock,us.anthropic.claude-opus-4-20250514-v1:0,Claude-4-Opus,,Claude Opus 4,Not disclosed,Not disclosed,N/A,No,Prompted,Low,72.5% SWE-bench; ASL-3; 7+ hr autonomous work
bedrock,us.anthropic.claude-haiku-4-5-20251001-v1:0,Claude-4.5-Haiku,,Claude Haiku 4.5,Not disclosed,Not disclosed,N/A,No,Prompted,Low,First Haiku with 64K output; 73.3% SWE-bench
bedrock,us.anthropic.claude-sonnet-4-5-20250929-v1:0,Claude-4.5-Sonnet-Thinking,extended_thinking=true,Claude Sonnet 4.5 (Extended Thinking),Not disclosed,Not disclosed,N/A,Yes,Native,Very High,82.0% SWE-bench high-compute; 87% AIME 2025
bedrock,us.anthropic.claude-sonnet-4-20250514-v1:0,Claude-4-Sonnet-Thinking,extended_thinking=true,Claude Sonnet 4 (Extended Thinking),Not disclosed,Not disclosed,N/A,Yes,Native,High,Interleaved thinking beta available
bedrock,us.anthropic.claude-opus-4-1-20250805-v1:0,Claude-4.1-Opus-Thinking,extended_thinking=true,Claude Opus 4.1 (Extended Thinking),Not disclosed,Not disclosed,N/A,Yes,Native,Very High,Incremental improvements for agentic tasks
bedrock,us.anthropic.claude-opus-4-20250514-v1:0,Claude-4-Opus-Thinking,extended_thinking=true,Claude Opus 4 (Extended Thinking),Not disclosed,Not disclosed,N/A,Yes,Native,Very High,79.6% GPQA Diamond; interleaved thinking; summarized output
bedrock,us.anthropic.claude-haiku-4-5-20251001-v1:0,Claude-4.5-Haiku-Thinking,extended_thinking=true,Claude Haiku 4.5 (Extended Thinking),Not disclosed,Not disclosed,N/A,Yes,Native,High,First Haiku with extended thinking; 4-5x faster than Sonnet
bedrock,global.anthropic.claude-opus-4-5-20251101-v1:0,Claude-4.5-Opus-Global-Thinking,extended_thinking=true,Claude Opus 4.5 (Extended Thinking),Not disclosed,Not disclosed,N/A,Yes,Native,Maximum,First with effort parameter (low/med/high); thinking blocks preserved
bedrock,us.anthropic.claude-3-7-sonnet-20250219-v1:0,Claude-3.7-Sonnet,,Claude 3.7 Sonnet,Not disclosed,Not disclosed,N/A,No,Prompted,Low,62.3% SWE-bench; deprecated Oct 28 2025
bedrock,us.anthropic.claude-3-5-sonnet-20241022-v2:0,Claude-3.5-Sonnet-v2,,Claude 3.5 Sonnet (New),Not disclosed,Not disclosed,N/A,No,Prompted,None,49% SWE-bench (beat o1-preview); Computer Use beta
bedrock,us.anthropic.claude-3-5-sonnet-20240620-v1:0,Claude-3.5-Sonnet-v1,,Claude 3.5 Sonnet,Not disclosed,Not disclosed,N/A,No,Prompted,None,Outperformed Opus at Sonnet price; Artifacts feature
bedrock,us.anthropic.claude-3-5-haiku-20241022-v1:0,Claude-3.5-Haiku,,Claude 3.5 Haiku,Not disclosed,Not disclosed,N/A,No,Prompted,None,Opus-level at Haiku speed; 40.6% SWE-bench
bedrock,us.anthropic.claude-3-opus-20240229-v1:0,Claude-3-Opus,,Claude 3 Opus,Not disclosed,Not disclosed,N/A,No,Prompted,None,Most capable Claude 3; 200K-1M context; 99.4% NIAH
bedrock,us.anthropic.claude-3-sonnet-20240229-v1:0,Claude-3-Sonnet,,Claude 3 Sonnet,Not disclosed,Not disclosed,N/A,No,Prompted,None,Balanced mid-tier; 200K context; vision
bedrock,us.anthropic.claude-3-haiku-20240307-v1:0,Claude-3-Haiku,,Claude 3 Haiku,Not disclosed,Not disclosed,N/A,No,Prompted,None,Fastest Claude 3; 200K context; vision; $0.25/MTok
bedrock,us.meta.llama4-maverick-17b-instruct-v1:0,Llama-4-Maverick-17B,,Llama 4 Maverick,400B,Yes,17B,No,Prompted,Low,1M context; 128 experts + 1 shared; co-distilled from Behemoth
bedrock,us.meta.llama4-scout-17b-instruct-v1:0,Llama-4-Scout-17B,,Llama 4 Scout,109B,Yes,17B,No,Prompted,Low,10M context (industry-leading); 16 experts + 1 shared; iRoPE
bedrock,us.meta.llama3-3-70b-instruct-v1:0,Llama-3.3-70B,,Llama 3.3 70B Instruct,70B,No,N/A,No,Prompted,Medium,405B-level performance at 70B cost; 128K context
